# Pfam → COG category + GO term mapping (GIAE bundled starter table)
# Format: pfam_id<TAB>pfam_name<TAB>cog_letter<TAB>go_terms (pipe-separated, optional)
# Sources: NCBI CDD (Pfam→COG), EBI Pfam2GO (Pfam→GO), curated for phage genomes.
# Extend by appending rows or pointing FunctionalAnnotator at a custom file.
#
# COG categories: J K L M N T U V X C E F G H I P Q R S
#   J=Translation  K=Transcription  L=Replication/recombination/repair
#   M=Cell wall    N=Cell motility  T=Signal transduction
#   U=Trafficking  V=Defense        X=Mobilome (phage)
#   C=Energy       E=Amino acid     F=Nucleotide      G=Carbohydrate
#   H=Coenzyme     I=Lipid          P=Inorganic ion   Q=Secondary metabolites
#   R=General prediction only       S=Function unknown
PF01527	HTH_Tnp_1	X	GO:0003677|GO:0006313
PF01609	DDE_Tnp_1	X	GO:0006313|GO:0032196
PF01610	DDE_Tnp_IS204	X	GO:0006313
PF01612	3_5_exonuc	L	GO:0008408
PF01713	Smr	L	GO:0003676|GO:0004519
PF01751	Toprim	L	GO:0003824
PF01797	Y1_Tnp	X	GO:0003677|GO:0006313
PF01918	Alba	L	GO:0003676
PF02463	SMC_N	D	GO:0005524|GO:0007059
PF02540	NAD_synthase	H	GO:0008795|GO:0009435
PF02601	Exonuc_VII_L	L	GO:0008855
PF02786	CPSase_L_D2	F	GO:0005524|GO:0006807
PF02810	SEC-C	J
PF02864	StAR	I	GO:0008289
PF02914	Phage_min_cap1	X	GO:0019028|GO:0019068
PF02915	Phage_capsid	X	GO:0019028|GO:0019068
PF03006	HlyIII	M
PF03050	DDE_Tnp_IS66	X	GO:0006313
PF03237	Terminase_6N	X	GO:0019028
PF03245	Phage_holin_3_4	X	GO:0019835
PF03592	Tn7_Tnp_TnsA_N	X	GO:0006313
PF03796	DnaB_C	L	GO:0003677|GO:0003678|GO:0005524
PF04545	Sigma70_r4	K	GO:0006352|GO:0016987
PF04851	ResIII	L	GO:0003677|GO:0005524
PF05123	Phage_capsid	X	GO:0019028|GO:0019068
PF05195	AMP_N	E
PF05257	CHAP	M	GO:0008233
PF05496	RuvB_N	L	GO:0003677|GO:0005524|GO:0006281
PF05593	RHH_4	K	GO:0003677
PF06381	Phage_TerL	X	GO:0019073|GO:0019081
PF07724	AAA_2	O	GO:0005524|GO:0016887
PF09299	Mor	K	GO:0003700
PF11651	Phage_RoLysB	X	GO:0019835
PF12834	zf-CCHH	K	GO:0003676|GO:0008270
PF13245	AAA_19	V	GO:0005524|GO:0016887
PF13361	UvrD_C	L	GO:0003677|GO:0004386
PF13476	AAA_23	L	GO:0005524|GO:0016887
PF13551	HATPase_c_2	T	GO:0000155|GO:0000160
PF13614	AAA_31	L	GO:0005524
PF13715	CarboxypepD_reg	M
PF13868	HTH_19	K	GO:0003677
PF14111	DUF4283	S
